frame_num,x,y,z
43,1200,700,0
43.6,1199.7,697.7,0.1
44.1,1199.5,695.3,0.2
44.7,1199.2,693,0.4
45.2,1198.9,690.7,0.5
45.8,1198.7,688.3,0.6
46.3,1198.4,686,0.7
46.9,1198.1,683.6,0.8
47.4,1197.9,681.3,1
48,1197.6,678.9,1.1
48.5,1197.3,676.5,1.2
49.1,1197.1,674.1,1.3
49.7,1196.8,671.7,1.4
50.2,1196.5,669.3,1.5
50.8,1196.3,666.9,1.6
51.3,1196,664.4,1.8
51.9,1195.7,662,1.9
52.4,1195.4,659.5,2
53,1195.2,657,2.1
53.5,1194.9,654.5,2.2
54.1,1194.6,652,2.3
54.6,1194.4,649.4,2.4
55.2,1194.1,646.8,2.5
55.8,1193.8,644.2,2.6
56.3,1193.6,641.6,2.7
56.9,1193.3,639,2.8
57.4,1193,636.3,2.9
58,1192.7,633.6,3
58.5,1192.5,630.9,3.1
59.1,1192.2,628.1,3.2
59.6,1191.9,625.3,3.3
60.2,1191.7,622.5,3.4
60.7,1191.4,619.6,3.5
61.3,1191.1,616.8,3.6
61.9,1190.8,613.8,3.7
62.4,1190.6,610.9,3.8
63,1190.3,607.9,3.8
63.5,1190,604.9,3.9
64.1,1189.7,601.8,4
64.6,1189.5,598.7,4.1
65.2,1189.2,595.5,4.2
65.7,1188.9,592.3,4.2
66.3,1188.6,589.1,4.3
66.8,1188.4,585.8,4.4
67.4,1188.1,582.5,4.4
68,1187.8,579.1,4.5
68.5,1187.5,575.7,4.6
69.1,1187.2,572.2,4.6
69.6,1187,568.7,4.7
70.2,1186.7,565.1,4.7
70.7,1186.4,561.5,4.8
71.3,1186.1,557.8,4.8
71.8,1185.8,554.1,4.9
72.4,1185.5,550.3,4.9
72.9,1185.3,546.5,4.9
73.5,1185,542.6,5
74.1,1184.7,538.6,5
74.6,1184.4,534.6,5
75.2,1184.1,530.6,5
75.7,1183.8,526.4,5.1
76.3,1183.5,522.2,5.1
76.8,1183.3,518,5.1
77.4,1183,513.7,5.1
77.9,1182.7,509.3,5.1
78.5,1182.4,504.8,5.1
79,1182.1,500.3,5.1
79.6,1181.8,495.7,5.1
80.2,1181.5,491,5.1
80.7,1181.2,486.3,5.1
81.3,1180.9,481.5,5.1
81.8,1180.6,476.6,5.1
82.4,1180.3,471.7,5
82.9,1180,466,5
83.7,1179.7,461.6,5
84.5,1179.4,456.4,4.9
85.3,1179.1,451.2,4.9
86,1178.8,445.9,4.9
86.8,1178.5,440.5,4.8
87.6,1178.2,435.2,4.8
88.4,1177.9,429.7,4.7
89.2,1177.6,424.3,4.6
90,1177.3,418.8,4.6
90.8,1177,413.3,4.5
91.5,1176.7,407.8,4.5
92.3,1176.4,402.2,4.4
93.1,1176.1,396.7,4.3
93.9,1175.8,391.2,4.3
94.7,1175.5,385.7,4.2
95.5,1175.2,380.2,4.1
96.3,1174.9,374.7,4
97.1,1174.6,369.3,4
97.8,1174.3,363.9,3.9
98.6,1174,358.5,3.8
99.4,1173.6,353.2,3.7
100.2,1173.3,348,3.6
101,1173,342.8,3.6
101.8,1172.7,337.7,3.5
102.6,1172.4,332.6,3.4
103.3,1172.1,327.6,3.3
104.1,1171.8,322.8,3.2
104.9,1171.4,318,3.2
105.7,1171.1,313.3,3.1
106.5,1170.8,308.7,3
107.3,1170.5,304.2,2.9
108.1,1170.2,299.9,2.9
108.9,1169.9,295.7,2.8
109.6,1169.6,291.6,2.7
110.4,1169.2,287.6,2.7
111.2,1168.9,283.8,2.6
112,1168.6,280.1,2.5
112.8,1168.3,276.6,2.5
113.6,1168,273.3,2.4
114.4,1167.6,270.1,2.4
115.1,1167.3,267.1,2.3
115.9,1167,264.3,2.3
116.7,1166.7,261.6,2.2
117.5,1166.4,259.2,2.2
118.3,1166,257,2.1
119.1,1165.7,254.9,2.1
119.9,1165.4,253.1,2.1
120.7,1165.1,251.5,2
121.4,1164.7,250.1,2
122.2,1164.4,249,2
123,1164.1,248.1,2
123.8,1163.8,247.4,2
124.6,1163.5,247,2
125.4,1163.1,246.9,2
126.2,1162.8,247,2
126.9,1162.5,247.4,2
127.7,1162.2,248,2
128.5,1161.8,249,2
129.3,1161.5,250.2,2.1
130.1,1161.2,251.7,2.1
130.9,1160.9,253.5,2.1
131.7,1160.5,255.7,2.2
132.5,1160.2,258.1,2.3
133,1160,260,2.3
133.8,1159.6,263.9,2.4
134.5,1159.3,267.2,2.5
135.1,1158.9,270.6,2.5
135.8,1158.5,275,2.6
136.6,1158.3,277.2,2.6
137.5,1158,280.4,2.7
138.4,1157.6,283.5,2.7
139.4,1157.3,286.5,2.7
140.3,1157,289.4,2.6
141.2,1156.6,292.3,2.6
142.1,1156.3,295.1,2.6
143,1155.9,297.9,2.5
143.9,1155.6,300.7,2.4
144.8,1155.2,303.5,2.4
145.7,1154.8,306.2,2.3
146.6,1154.4,309,2.2
147.6,1154,311.8,2.1
148.5,1153.6,314.6,2
149.4,1153.2,317.5,1.9
