frame_num,track_id,x,y,color
1,1,294.8,448.85,A
1,4,155.69,348.61,B
1,2,161.75,394.57,B
1,3,246.79,348.86,A
1,5,186.3,170.38,A
1,6,30.29,352.59,B
1,7,143.07,391.34,A
1,10,44.31,82.78,B
1,9,71.29,381.53,B
1,8,49.11,238.64,B
1,12,123.58,348.55,B
1,13,52.49,340.93,B
1,11,59.8,331.33,B
1,15,26.52,363.73,B
1,14,67.67,357.51,B
2,1,295.0,449.49,A
2,2,161.57,395.24,B
2,4,155.14,349.14,B
2,3,247.58,350.02,A
2,5,186.04,170.47,A
2,7,143.27,391.47,A
2,6,30.83,353.28,B
2,10,43.31,80.8,B
2,8,51.46,240.55,B
2,13,54.01,342.19,B
2,16,65.63,340.77,B
2,9,71.43,382.13,B
2,12,123.78,349.03,B
2,11,62.77,336.06,B
2,15,25.18,362.07,B
3,1,294.95,449.47,A
3,2,161.56,395.24,B
3,4,155.1,349.15,B
3,3,247.49,350.04,A
3,5,185.88,170.54,A
3,7,143.28,391.47,A
3,6,30.84,353.25,B
3,10,43.19,80.93,B
3,8,51.34,240.48,B
3,13,54.04,342.22,B
3,16,65.69,340.86,B
3,9,71.45,382.12,B
3,12,123.75,349.03,B
3,11,62.61,335.79,B
3,15,25.37,362.26,B
4,1,295.16,450.12,A
4,2,161.05,395.6,B
4,4,154.82,350.23,B
4,3,247.09,351.11,A
4,5,185.63,170.62,A
4,7,143.42,391.7,A
4,8,48.85,235.45,B
4,6,30.12,353.07,B
4,10,42.79,80.07,B
4,13,56.16,344.69,B
4,9,70.99,382.16,B
4,11,62.78,338.39,B
4,12,124.85,351.12,B
4,16,65.08,340.95,B
5,1,295.28,450.0,A
5,4,154.73,350.61,B
5,2,160.57,395.6,B
5,5,185.76,170.54,A
5,7,143.53,391.36,A
5,8,48.42,233.12,B
5,3,246.85,350.12,A
5,6,29.23,353.05,B
5,9,70.39,381.91,B
5,10,42.43,78.52,B
5,16,67.21,342.06,B
5,12,125.5,352.36,B
5,11,62.89,337.29,B
5,13,56.74,343.47,B
5,15,24.7,362.45,B
6,1,294.95,450.7,A
6,4,153.86,350.08,B
6,7,144.2,392.14,A
6,2,159.94,395.32,B
6,5,184.87,169.77,A
6,3,248.17,353.45,A
6,8,49.39,232.38,B
6,6,29.71,353.92,B
6,10,42.5,77.37,B
6,9,70.43,381.81,B
6,16,67.66,341.26,B
6,12,125.6,352.45,B
6,11,61.54,335.99,B
6,15,26.27,364.84,B
6,13,55.49,341.29,B
7,1,294.43,450.24,A
7,4,153.72,350.63,B
7,5,184.1,169.32,A
7,7,144.72,392.55,A
7,8,50.4,231.92,B
7,2,158.84,394.98,B
7,6,29.6,354.18,B
7,3,248.9,354.72,A
7,9,69.95,381.55,B
7,10,41.06,74.68,B
7,16,68.04,341.44,B
7,12,125.5,352.53,B
7,11,60.97,336.48,B
7,15,27.05,366.22,B
7,13,67.1,357.63,B
8,1,294.11,450.29,A
8,4,153.41,350.57,B
8,5,183.61,168.1,A
8,7,144.98,393.1,A
8,8,51.86,232.1,B
8,6,29.5,354.78,B
8,2,158.33,395.5,B
8,3,248.78,354.61,A
8,16,68.13,341.15,B
8,10,41.8,74.31,B
8,12,125.05,351.74,B
8,9,70.56,382.6,B
8,15,27.79,367.63,B
8,11,59.54,337.4,B
8,13,68.13,357.63,B
9,1,294.26,450.39,A
9,4,153.43,350.62,B
9,5,183.57,168.11,A
9,7,145.01,393.15,A
9,8,51.72,232.01,B
9,6,29.48,354.75,B
9,2,158.39,395.55,B
9,3,248.84,354.66,A
9,16,68.07,341.11,B
9,10,41.5,74.1,B
9,12,124.97,351.65,B
9,9,70.51,382.54,B
9,19,327.61,164.79,A
9,15,27.75,367.57,B
9,11,59.41,337.27,B
9,13,68.03,357.63,B
10,1,295.03,451.55,A
10,4,154.4,352.73,B
10,5,180.76,164.19,A
10,7,144.6,392.94,A
10,8,53.74,231.85,B
10,6,29.35,354.54,B
10,3,249.45,355.99,A
10,2,156.93,395.72,B
10,16,68.93,341.63,B
10,10,41.28,74.64,B
10,19,328.64,163.31,A
10,12,124.68,351.41,B
10,9,70.29,382.25,B
10,11,57.08,334.42,B
10,15,27.81,367.18,B
10,13,68.49,357.79,B
11,1,294.54,452.81,A
11,4,154.99,354.77,B
11,5,178.74,162.25,A
11,7,144.56,393.28,A
11,8,55.81,230.22,B
11,3,249.2,356.66,A
11,19,328.52,163.08,A
11,6,29.31,355.3,B
11,16,69.27,342.02,B
11,12,126.19,354.18,B
11,2,155.9,396.51,B
11,13,68.42,358.31,B
11,10,41.55,74.69,B
11,15,27.77,367.38,B
11,9,70.07,382.62,B
11,11,57.56,334.09,B
12,1,295.58,454.22,A
12,4,154.7,354.61,B
12,5,177.92,161.74,A
12,3,249.56,356.86,A
12,19,329.65,162.02,A
12,12,126.02,354.27,B
12,6,29.72,355.44,B
12,7,143.99,392.23,A
12,16,69.3,341.0,B
12,8,56.4,228.0,B
12,10,40.53,72.02,B
12,15,28.25,367.13,B
12,9,70.58,382.76,B
12,2,155.02,396.49,B
12,13,68.02,357.86,B
12,11,57.57,333.93,B
13,4,154.18,355.0,B
13,1,295.63,455.43,A
13,5,176.96,161.3,A
13,3,249.24,356.15,A
13,6,30.7,356.7,B
13,7,144.17,392.13,A
13,12,125.74,354.31,B
13,19,329.6,159.31,A
13,8,57.16,227.84,B
13,15,30.42,369.52,B
13,16,69.57,341.07,B
13,9,70.72,382.89,B
13,10,40.02,71.9,B
13,2,153.87,397.37,B
13,13,68.28,358.03,B
