frame_num,x,y,z
18,39,27,0.0
19,40,27,0.0
20,40,28,0.0
21,40,28,0.0
22,40,27,0.0
25,47,33,0.0
26,50,36,0.0
27,54,39,0.0
28,54,39,0.0
29,57,41,0.0
30,61,43,0.0
31,63,44,0.0
32,66,46,0.0
33,69,48,0.0
34,69,48,0.0
35,71,51,0.0
36,74,53,0.0
37,78,56,0.0
38,79,56,0.0
39,82,57,0.0
40,82,58,0.0
41,84,60,0.0
42,87,61,0.0
43,89,62,0.0
44,91,64,0.0
45,93,65,0.0
46,93,65,0.0
47,95,68,0.0
48,97,69,0.0
49,99,72,0.0
50,101,73,0.0
51,102,73,0.0
52,102,73,0.0
53,103,74,0.0
54,105,76,0.0
55,106,76,0.0
56,108,78,0.0
65,124,84,0.0
66,128,84,0.0
67,133,86,0.0
68,140,89,0.0
69,148,94,0.0
70,148,94,0.0
71,156,99,0.0
72,164,105,0.0
73,171,111,0.0
74,180,119,0.0
75,187,123,0.0
76,187,123,0.0
77,191,121,0.0
78,195,120,0.0
79,201,122,0.0
80,207,124,0.0
81,214,128,0.0
82,214,127,0.0
83,221,133,0.0
84,229,137,0.0
85,237,143,0.0
86,242,143,0.0
87,246,143,0.0
88,247,143,0.0
89,251,144,0.0
90,256,144,0.0
91,262,148,0.0
92,269,152,0.0
93,275,155,0.0
94,275,155,0.0
95,282,160,0.0
96,286,159,0.0
97,290,160,0.0
98,295,161,0.0
99,299,167,0.5996055226824459
101,292,173,1.167652859960552
103,285,180,1.7041420118343196
105,279,187,2.2090729783037473
107,272,194,2.682445759368836
109,266,200,3.1242603550295858
111,259,207,3.5345167652859963
117,252,214,3.9132149901380666
121,246,221,4.2603550295857975
126,239,227,4.575936883629192
130,233,234,4.8599605522682445
135,226,241,5.112426035502959
141,219,248,5.333333333333333
146,213,254,5.522682445759369
152,206,261,5.680473372781065
155,200,268,5.806706114398422
160,193,275,5.90138067061144
169,186,281,5.964497041420119
175,180,288,5.996055226824457
182,173,295,5.996055226824457
186,167,302,5.964497041420119
193,160,308,5.90138067061144
197,153,315,5.806706114398422
201,147,322,5.680473372781065
204,140,329,5.5226824457593695
208,134,335,5.333333333333334
212,127,342,5.112426035502959
215,120,349,4.8599605522682445
220,114,356,4.575936883629192
223,107,362,4.260355029585799
226,101,369,3.9132149901380675
230,94,376,3.5345167652859963
233,87,383,3.1242603550295858
235,81,389,2.682445759368836
238,74,396,2.209072978303749
241,68,403,1.704142011834321
242,61,410,1.1676528599605533
244,55,417,0.5996055226824459
247,40,377,0.0
248,41,376,0.0
249,46,376,0.0
250,46,376,0.0
251,50,376,0.0
252,54,377,0.0
253,58,379,0.0
254,63,380,0.0
255,69,384,0.0
256,69,384,0.0
257,75,388,0.0
258,82,392,0.0
259,90,397,0.0
260,97,401,0.0
261,98,398,0.0
262,98,398,0.0
263,96,392,0.0
264,95,387,0.0
265,93,382,0.0
266,93,378,0.0
267,94,375,0.0
268,94,375,0.0
269,95,373,0.0
270,96,372,0.0
271,99,372,0.0
272,102,372,0.0
273,109,373,0.0
274,109,373,0.0
275,114,376,0.0
276,118,378,0.0
277,123,381,0.0
278,129,385,0.0
279,129,383,0.0
280,129,383,0.0
281,129,380,0.0
282,129,377,0.0
283,128,373,0.0
284,129,372,0.0
285,129,371,0.0
286,129,371,0.0
287,132,372,0.0
288,134,372,0.0
289,138,374,0.0
290,142,377,0.0
291,144,378,0.0
292,144,378,0.0
293,144,374,0.0
295,130,360,0.0
296,125,355,0.0
300,111,346,0.0
301,107,343,0.0
302,104,342,0.0
305,99,341,0.0
306,98,344,0.0
307,97,345,0.0
308,97,348,0.0
309,98,351,0.0
310,98,351,0.0
311,99,356,0.0
312,101,360,0.0
313,103,365,0.0
314,107,374,0.0
315,111,380,0.0
316,111,380,0.0
319,127,409,0.0
320,135,422,0.0
321,143,433,0.0
322,143,433,0.0
323,150,445,0.0
324,158,456,0.0
325,166,470,0.0
326,174,481,0.0
327,182,494,0.0
328,182,494,0.0
329,191,507,0.0
330,200,519,0.0
331,210,531,0.0
332,218,543,0.0
333,216,541,0.0
347,217,548,0.0
348,221,554,0.0
349,223,558,0.0
350,228,563,0.0
351,234,572,0.0
352,234,572,0.0
353,239,578,0.0
354,245,586,0.0
355,251,594,0.0
356,257,601,0.0
357,264,612,0.0
358,264,612,0.0
359,267,616,0.0
371,268,620,0.0
372,270,623,0.0
373,274,627,0.0
374,277,630,0.0
375,281,636,0.0
376,280,636,0.0
377,285,640,0.0
378,291,647,0.0
379,296,652,0.0
380,297,653,0.0
387,297,654,0.0
388,297,654,0.0
389,299,656,0.0
390,301,658,0.0
391,304,662,0.0
392,307,665,0.0
393,309,667,0.0
394,309,667,0.0
395,313,671,0.0
396,317,676,0.0
397,317,676,0.0
398,317,676,0.0
