frame_num,x,y,z
0,1182.9,73.1,0
12,1173.6,112.8,0
34,1170.9,111.5,0
60,1129.9,97,0
65,1125.9,106.2,0
67,1120.6,108.9,0
71,1118,114.2,0
73,1118,116.8,0
78,1112.7,119.5,0
80,1108.7,120.8,0
85,1095.5,130.1,0
94,1083.5,135.4,0
98,1078.2,138,0
101,1070.3,142,0
108,1054.4,160.5,0
118,1054.4,160.5,0
163,927.3,320.7,0
173,925.9,332.7,0
181,932.6,335.3,0
187,937.9,338,0
215,943.2,336.6,0
224,1080.9,339,2
225,1096.8,339.3,2.2
226,1120.6,339,2.4
227,1134.5,338,2.6
228,1148.4,340,2.8
229,1165.7,339.3,2.9
230,1173.6,339,2.9
232,1175,339,2.8
233,1177.6,340,2.7
235,1180.3,339,2.6
236,1190,340,2.4
238,1192.1,339.8,2.2
241,1194.8,339.3,2.1
