frame_num,x,y,z
0,1194.5,695.5,0
20,1115.1,688.2,0
23,1112.9,686,0
27,1112,685,0
35,1100.2,682.8,0
42,1088.6,681.7,0
50,1091,678.6,0
102,871.4,559.9,0
112,871.4,559.9,0
122,871.4,559.9,0
123,871.4,559.9,0
149,977.3,669,0
156,969.9,668,0
161,963.6,665.8,0
166,959.3,664,0
173,958,663,0
177,971.7,638.4,0.6
182,990.2,606.2,1.8
186,1004,582.6,2.7
189,1014.2,565,3.1
194,1030.4,536.8,3.8
201,1051.7,499.6,4.2
207,1068.6,469.7,4.2
211,1079.2,451.2,3.9
214,1086.8,437.8,3.7
217,1094.1,424.8,3.3
223,1118.9,381,2.5
232,1066.8,380.5,0
236,1060.3,383.4,0.8
243,1046,386.8,1.4
249,1030.8,390,1.5
256,1009.5,395.1,1.1
262,988.2,399.8,0.2
265,974.2,403.1,0
272,954,408.4,0.3
274,947.7,411.6,0.6
276,947.4,402.3,1
283,947.2,380.3,1.6
288,946.7,365.2,1.7
295,945.5,345.1,1.2
304,943.2,321,0.3
306,942.4,315.3,0
312,939.9,305.4,0.4
318,936.1,295.6,0.6
325,933,285.3,0.5
335,928.6,272.8,0
338,921.2,268.6,0.4
343,914.8,264.3,0.6
349,907.4,263.3,0
