frame_num,track_id,x,y,color
0,1,1161.7,353.3,A
0,2,1119.3,302.5,A
0,3,1073.7,296.1,A
0,4,1131.8,374.7,A
0,5,1123.4,369.4,A
0,6,1195,695.5,A
0,7,1100.4,688.2,A
0,8,984,413.7,A
0,9,900.1,312.8,A
0,11,1149.7,312.8,B
0,12,1155.9,350.5,B
0,13,1144.4,358.9,B
0,14,1158,384.1,B
0,15,1179,403,B
0,16,1142.6,374.5,B
0,17,1133.1,338.5,B
0,18,1100.2,410.5,B
0,19,1111.9,573.7,B
0,20,1120,303.5,B
0,21,1182.2,349.5,C
16,1,1161.7,353.3,A
16,2,1119.3,302.5,A
16,3,1073.7,296.1,A
16,4,1131.8,391.5,A
16,5,1119.3,396.8,A
16,6,1176.9,695.5,A
16,8,979.4,413,A
16,9,905,312.8,A
16,13,1144.4,358.9,B
20,7,1115.1,688.2,A
23,4,1132,393.6,A
23,7,1112.9,686,A
23,11,1149,310.9,B
23,12,1150,355,B
23,14,1151.8,381,B
23,18,1100.2,410.5,B
23,20,1120,303.5,B
24,8,976,414.3,A
24,20,1120,303.5,B
25,13,1144.4,358.9,B
25,14,1155.3,396.8,B
25,15,1168,413.7,B
25,16,1142.6,397.8,B
25,17,1127.8,367.1,B
25,18,1100.2,410.5,B
26,19,1111.9,573.7,B
27,7,1112,685,A
30,1,1161.7,353.3,A
30,2,1119.3,302.5,A
30,3,1084.3,320.5,A
30,5,1123.4,386.2,A
30,17,1129.9,371.3,B
33,1,1161.7,353.3,A
34,12,1146.5,350.5,B
35,7,1100.2,682.8,A
35,15,1162.2,419.8,B
37,6,1143.4,695.5,A
39,7,1101.3,681.7,A
40,9,919,310.7,A
42,7,1088.6,681.7,A
47,3,1076.9,325.8,A
47,14,1131.7,384.1,B
48,17,1112.9,386.2,B
50,16,1122.5,422.2,B
50,7,1091,678.6,A
52,4,1120.3,393.6,A
52,2,1112.9,302.5,A
54,5,1123.4,386.2,A
56,6,1101.4,695.5,A
58,3,1071.6,332.1,A
58,8,970,414.3,A
58,15,1146.5,435.5,B
60,21,1182.2,349.5,C
62,20,1097,316.2,B
