frame_num,track_id,x,y,color
0,1,1044.4,308.5,A
0,2,1062.1,353.7,A
0,3,1087.2,342.1,A
0,4,1106.7,350,A
0,5,1145.8,401.3,A
0,6,1154.4,383,A
0,7,1145.8,313.3,A
0,8,1155.6,328.2,A
0,9,1172.7,426.9,A
0,10,1077.4,426.9,A
0,11,959.1,466.9,B
0,12,944.6,390,B
0,13,1054.5,700,B
0,14,1014.7,298.6,B
0,15,1052,357.3,B
0,16,1067.7,358.5,B
0,17,1105.5,362.2,B
0,18,1175.1,392.7,B
0,19,1155.6,323.1,B
0,21,1186.1,362.2,C
26,13,1200,700,B
27,15,1060.9,346.6,B
30,11,957,470,B
30,12,930,385,B
30,16,1070.8,345.3,B
33,4,1133.6,420.8,A
36,19,1149.3,319.5,B
41,9,1158,429.4,A
44,17,1136,419.6,B
45,15,1082.2,336,B
47,18,1164.1,407.4,B
48,1,1045.6,293.8,A
49,7,1144.2,315.3,A
50,2,1112.8,337.8,A
50,3,1116.5,336.6,A
50,8,1150.7,325.5,A
57,13,1186.9,678.8,B
60,11,959.1,481.2,B
60,12,908.1,382.1,B
60,14,1036,300.4,B
60,16,1136,348.7,B
60,19,1148.3,313.3,B
64,17,1170.1,431.1,B
67,15,1087.6,334.2,B
70,4,1167.8,416,A
71,5,1151.9,414.7,A
74,7,1136,354.8,A
76,14,1020.1,289.8,B
78,1,1064.2,294.7,A
79,9,1156.8,437.9,A
81,10,1076.2,423.1,A
83,6,1156.2,386.5,A
84,17,1170.1,431.1,B
84,18,1164.1,407.4,B
85,2,1136,336.6,A
85,13,1156.5,676.1,B
86,21,1197.1,374.4,C
87,5,1154.2,413.7,A
89,8,1160.5,318.2,A
90,3,1138.5,345.1,A
90,11,878.88,490.5,B
90,12,874.4,350,B
90,16,1178.2,320.3,B
91,19,1168.3,270.4,B
97,4,1183.7,414.4,A
100,15,1144.4,353.7,B
104,7,1158,352.7,A
105,3,1142.1,338.6,A
109,14,1032.5,260,B
110,17,1186.1,434.3,B
111,8,1148.3,309.9,A
112,2,1136,336.6,A
114,13,1131.3,669.5,B
115,21,1196.8,373.1,C
116,9,1155.8,437.9,A
125,1,1064,295,A
137,1,1042.5,293.6,A
137,2,1109.2,323.1,A
137,3,1131.2,330.4,A
137,4,1167.8,419.6,A
137,5,1135.2,420.8,A
137,6,1145.1,388.3,A
137,7,1144.6,347.5,A
137,8,1131.2,288.3,A
137,9,1121.4,462.4,A
137,10,1031,395.2,A
137,11,825.4,503.9,B
137,12,918.8,360,B
137,13,1099.5,653.6,B
137,14,1001,278.6,B
137,15,1128.7,373.2,B
137,16,1166.6,321.9,B
137,17,1160.5,435.5,B
137,18,1134.8,425.7,B
137,19,1150.7,238.8,B
137,21,1197,374,C
