frame_num,track_id,x,y,color
0,1,600,350,A
0,2,1180,400,A
1,1,605,350,A
1,2,1183,400,A
2,1,610,350,A
2,2,1186,400,A
3,1,615,350,A
3,2,1189,400,A
4,1,620,350,A
4,2,1192,400,A
5,1,625,350,A
5,2,1195,400,A
6,1,630,350,A
6,2,1198,400,A
7,1,635,350,A
7,2,1201,400,A
8,1,640,350,A
8,2,1204,400,A
9,1,645,350,A
9,2,1207,400,A
10,1,650,350,A
10,2,1210,400,A
11,1,655,350,A
11,2,1213,400,A
12,1,660,350,A
12,2,1216,400,A
13,1,665,350,A
13,2,1219,400,A
14,1,670,350,A
14,2,1222,400,A
15,1,675,350,A
15,2,1225,400,A
16,1,680,350,A
16,2,1228,400,A
17,1,685,350,A
17,2,1231,400,A
18,1,690,350,A
18,2,1234,400,A
19,1,695,350,A
19,2,1237,400,A
20,1,700,350,A
20,2,1240,400,A
21,1,705,350,A
21,2,1243,400,A
22,1,710,350,A
22,2,1246,400,A
23,1,715,350,A
23,2,1249,400,A
24,1,720,350,A
24,2,1252,400,A
25,1,725,350,A
25,2,1255,400,A
26,1,730,350,A
26,2,1258,400,A
27,1,735,350,A
27,2,1261,400,A
28,1,740,350,A
28,2,1264,400,A
29,1,745,350,A
29,2,1267,400,A
